S.No,Page Type,URL,SEO Title,Title Length,SEO Description,Description Length
1,Cab booking city,/cab-booking/chennai,"Cab Booking Chennai | Airport Taxi, Local & Outstation Cabs | Cabzii",68,"Book airport taxi, local taxi, outstation taxi and one-way cabs in Chennai. Instant confirmation, professional drivers and affordable fares. Book online.",153
2,Cab booking city,/cab-booking/bengaluru,Bengaluru Cab Booking | 24/7 Taxi & Low Rates | cabzii,54,"Book affordable cabs in Bengaluru with Cabzii.in. Airport drops, outstation trips and local hire. Clean fleets, zero hidden charges, OTP booking 24/7.",150
3,Cab booking city,/cab-booking/hyderabad,Hyderabad Cab Booking | Airport & Outstation | cabzii,53,"Book cabs in Hyderabad with Cabzii.in. Reliable airport taxi, outstation and one-way trips. Fixed fares, clean cars and professional drivers — 24/7.",148
4,Cab booking city,/cab-booking/coimbatore,Cab Booking Coimbatore | Online Taxi & Packages | cabzii,56,"Cab booking in Coimbatore with Cabzii.in — outstation, airport taxi and one-way cabs to Bengaluru, Kodaikanal and Tirupati. Book online with upfront fares.",155
5,Cab booking city,/cab-booking/mysore,Taxi in Mysore | Book Cabs Online | cabzii,42,"Need a taxi in Mysore? Book local, airport and outstation cabs on Cabzii.in with transparent fares, clean cars and 24/7 customer support.",137
6,Cab booking city,/cab-booking/pondicherry,Cab Booking Pondicherry | Online Taxi Service | cabzii,54,"Cab booking in Pondicherry made easy — compare outstation, airport and hourly packages on Cabzii.in. Professional drivers, upfront fares, instant OTP.",150
7,Cab booking city,/cab-booking/tirupati,Tirupati Cab Booking | 24/7 Taxi & Packages | cabzii,52,"Book affordable cabs in Tirupati with Cabzii.in. Outstation, airport taxi and local hire. Clean fleets, transparent fares and expert drivers 24/7.",146
8,Cab booking city,/cab-booking/vellore,Taxi in Vellore | Book Cabs Online | cabzii,43,"Need a taxi in Vellore? Book local, airport and outstation cabs on Cabzii.in with transparent fares, clean cars and 24/7 customer support.",138
9,Cab booking city,/cab-booking/salem,Salem Cab Booking | 24/7 Taxi & Packages | cabzii,49,"Book affordable cabs in Salem with Cabzii.in. Outstation, airport taxi and local hire. Clean fleets, transparent fares and expert drivers 24/7.",143
10,Cab booking city,/cab-booking/madurai,Cab Booking Madurai | Online Taxi & Outstation | cabzii,55,"Cab booking in Madurai on Cabzii.in — online taxi, one-way and outstation cabs to Trichy, Chennai and hill stations. Transparent fares, OTP booking 24/7.",153
